www.city.suginami.tokyo.jp,13115,806,28
www.city.bunkyo.lg.jp,13105,73,8
www.city.hachioji.tokyo.jp,13201,2966,564
www.city.nerima.tokyo.jp,13120,703,9
www.city.sumida.lg.jp,13107,2152,0
www.city.shinagawa.tokyo.jp,13109,23,0
www.city.itabashi.tokyo.jp,13119,108,6
www.city.tokyo-nakano.lg.jp,13114,47,0
photo.city.edogawa.tokyo.jp,13123,565,0
www.city.shibuya.tokyo.jp,13113,13,0
www.city.mitaka.lg.jp,13204,202,0
www.city.kita.tokyo.jp,13117,10,2
www.city.tachikawa.lg.jp,13202,31,3
www.city.akiruno.tokyo.jp,13228,5,0
www.city.taito.lg.jp,13106,34,34
www.city.kiyose.lg.jp,13221,86,17
www.city.chofu.tokyo.jp,13208,1421,11
www.city.machida.tokyo.jp,13209,545,13
opendata.city.minato.tokyo.jp,13103,2211,7
www.city.shinjuku.lg.jp,13104,11,0
www.city.inagi.tokyo.jp,13225,301,13
www.city.chuo.lg.jp,13102,38,1
www.town.hachijo.tokyo.jp,13401,4,0
www.city.nishitokyo.lg.jp,13229,5,0
www.city.fussa.tokyo.jp,13218,1,1
www.city.ome.tokyo.jp,13205,1,0
www.city.koto.lg.jp,13108,33,0
www.city.meguro.tokyo.jp,13110,4,0
